-182.764, 78.478, 1.422,  1.765
-182.742, 78.436, 1.424,  1.798
-182.720, 78.393, 1.425,  1.831
-182.699, 78.351, 1.427,  1.864
-182.677, 78.308, 1.428,  1.897
-182.656, 78.266, 1.430,  1.930
-182.636, 78.223, 1.432,  1.963
-182.615, 78.179, 1.435,  1.996
-182.595, 78.136, 1.438,  2.029
-182.575, 78.092, 1.441,  2.062
-182.555, 78.049, 1.444,  2.095
-182.535, 78.004, 1.448,  2.128
-182.516, 77.960, 1.452,  2.161
-182.497, 77.915, 1.456,  2.194
-182.478, 77.871, 1.460,  2.227
-182.460, 77.825, 1.465,  2.260
-182.441, 77.780, 1.470,  2.293
-182.423, 77.734, 1.474,  2.326
-182.405, 77.688, 1.479,  2.359
-182.387, 77.642, 1.484,  2.392
-182.370, 77.596, 1.488,  2.425
-182.352, 77.549, 1.493,  2.458
-182.335, 77.502, 1.498,  2.491
-182.318, 77.455, 1.502,  2.524
-182.301, 77.407, 1.507,  2.557
-182.285, 77.360, 1.511,  2.590
-182.269, 77.312, 1.515,  2.623
-182.252, 77.264, 1.520,  2.656
-182.236, 77.215, 1.524,  2.689
-182.221, 77.167, 1.528,  2.722
-182.205, 77.118, 1.533,  2.755
-182.190, 77.069, 1.537,  2.788
-182.175, 77.020, 1.542,  2.821
-182.160, 76.970, 1.546,  2.854
-182.145, 76.921, 1.551,  2.887
-182.130, 76.871, 1.555,  2.920
-182.116, 76.820, 1.560,  2.953
-182.102, 76.770, 1.564,  2.986
-182.088, 76.719, 1.569,  3.019
-182.074, 76.669, 1.574,  3.052
-182.061, 76.618, 1.578,  3.085
-182.047, 76.566, 1.583,  3.118
-182.034, 76.515, 1.588,  3.151
-182.021, 76.463, 1.593,  3.184
-182.008, 76.411, 1.598,  3.217
-181.995, 76.359, 1.603,  3.250
-181.983, 76.307, 1.608,  3.283
-181.971, 76.254, 1.613,  3.316
-181.959, 76.201, 1.618,  3.349
-181.947, 76.148, 1.623,  3.382
-181.935, 76.095, 1.628,  3.415
-181.923, 76.042, 1.633,  3.448
-181.912, 75.988, 1.638,  3.481
-181.901, 75.934, 1.643,  3.514
-181.890, 75.880, 1.648,  3.547
-181.879, 75.826, 1.653,  3.580
-181.868, 75.772, 1.658,  3.613
-181.858, 75.717, 1.663,  3.646
-181.847, 75.662, 1.668,  3.679
